ta,University,University_original,Encampment?,Encampment after 5/1 at 5pm eastern time,Encampment protest start date,News link 1,News link 2,Link 3,Link 4,Notes,Arrests?,Number Arrested,Link for arrest stat,Arrests new since 5/1 at 4pm eastern time,Arrests date,Police Involved?,2024 cfsr_ranking,FIRE spotlight_rating,University_match_status,University_name_changed,University_manual_anyyear_match,University_manual_anyyear_years,University_manual_note,University_manual_reviewed
242,Virginia Commonwealth University,Virginia Commonwealth University,Yes,,4/29/2024,https://www.13newsnow.com/article/news/local/virginia/vcu-palestine-protests-encampment-arrests-richmond-tear-gas/291-819d917e-0eb1-4730-b192-b6df54e7ad4b,,,,,Yes,13.0,"https://www.princewilliamtimes.com/news/police-arrest-13-protesters-at-virginia-commonwealth-university-pro-palestine-event/article_0c0b56a3-ae7f-598e-82af-8f3e34199684.html#:~:text=RICHMOND%20%E2%80%93%20Law%20enforcement%20officers%20arrested,campus%20of%20Virginia%20Commonwealth%20University.",,4/30/24,Yes,184,Yellow,matched_to_cfsr2025,0,,,,
243,Virginia Polytechnic Institute and State University,Virginia Tech University,Yes,,4/26/2024,https://fox28savannah.com/news/nation-world/virginia-tech-students-set-up-gaza-liberation-encampment-on-campus-lawn-free-palestine-coalition-columbia-university-israel-antisemitism-yale-harvard-april-2024,,https://www.instagram.com/vt4palestine/?igsh=czJ2bTJmNm9xb2ho,,,Yes,82.0,"https://wset.com/news/local/dozens-of-protesters-at-arrested-at-virginia-techs-gaza-liberation-encampment-palestine-israel-conflict-vt-tim-sands-coalition-blacksburg-police-freedom-of-speech-april-2024#:~:text=82%20protesters%20arrested%20at%20Virginia%20Tech's%20Gaza%20Liberation%20Encampment,-by%20Robert%20Locklear&text=BLACKSBURG%2C%20Va.,%22Shame%20on%20you!",,4/29/24,Yes,160,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
244,Wake Forest University,Wake Forest University,Yes,,4/30/2024,https://wfuogb.com/24383/news/pro-palestinian-protest-on-hearn-plaza-evolves-into-encampment/,,,,,No,,,,,No,88,Yellow,matched_to_cfsr2025,0,,,,
245,Washington and Lee University,Washington and Lee University,No,,,,,,,,No,,,,,Not Applicable,20,Yellow,matched_to_cfsr2025,0,,,,
246,Washington State University,Washington State University,No,,,,,,,,No,,,,,Not Applicable,151,Yellow,matched_to_cfsr2025,0,,,,
247,Washington University in St Louis,Washington University in St Louis,Yes,,4/20/2024,https://www.chronicle.com/article/heres-where-student-protesters-are-demanding-divestment-from-israel,https://www.studlife.com/news/2024/04/24/police-disband-pro-palestine-protest-and-encampment-during-alumni-weekend,https://www.instagram.com/p/C5_vuO6pYFF/?img_index=1,,,Yes,100.0,"https://andrewdmartin.wustl.edu/this-weekends-demonstration/#:~:text=In%20the%20process%20of%20making,not%20our%20students%20or%20employees.",,4/27/24,Yes,135,Yellow,matched_to_cfsr2025,0,,,,
248,Wayne State University,Wayne State University,Yes,Yes,5/23/2024,https://www.detroitnews.com/story/news/local/detroit-city/2024/05/24/group-sets-up-pro-palestinian-encampment-at-wayne-state/73834896007/,,,,,Yes,12.0,"https://www.insidehighered.com/news/quick-takes/2024/05/31/police-dismantle-encampment-wayne-state#:~:text=At%20least%2012%20pro%2DPalestinian,The%20Detroit%20Free%20Press%20reported.",Yes,5/31/24,Yes,93,Yellow,matched_to_cfsr2025,0,,,,
249,Wellesley College,Wellesley College,No,,,,,,,,No,,,,,Not Applicable,167,Yellow,matched_to_cfsr2025,0,,,,
250,Wesleyan University,Wesleyan University,Yes,,4/28/2024,https://www.wtnh.com/news/connecticut/middlesex/wesleyan-students-join-national-protests-and-launch-an-encampment/,,https://twitter.com/ReneeLevant/status/1784758232784740530,,,No,,,,,No,115,Yellow,matched_to_cfsr2025,0,,,,
251,West Virginia University,West Virginia University,No,,,,,,,,No,,,,,Not Applicable,105,Yellow,matched_to_cfsr2025,0,,,,
252,Western Michigan University,Western Michigan University,Yes,,4/27/2024,https://www.wjr.com/2024/04/29/student-encampments-continue-at-three-michigan-universities/,https://www.mlive.com/news/kalamazoo/2024/04/wmu-sends-police-to-campus-gaza-protest-to-prohibit-tents-overnight-camping.html,,,,No,,,,,Yes,215,Red,matched_to_cfsr2025,0,,,,
253,Wheaton College (Massachusetts),Wheaton College,No,,,,,,,,No,,,,,Not Applicable,149,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
254,Williams College,Williams College,Yes,,5/1/2024,https://williamsrecord.com/466976/news/williams-college-encampment/,,,,,No,,,,,No,145,Yellow,matched_to_cfsr2025,0,,,,
255,Worcester Polytechnic Institute,Worcester Polytechnic Institute,No,,,,,,,,No,,,,,Not Applicable,78,Yellow,matched_to_cfsr2025,0,,,,
256,Wright State University-Main Campus,Wright State University,No,,,,,,,,No,,,,,Not Applicable,28,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
257,Yale University,Yale University,Yes,,4/22/2024,https://www.chronicle.com/article/heres-where-student-protesters-are-demanding-divestment-from-israel,https://www.chronicle.com/article/dozens-of-students-arrested-at-yale-as-administrators-clear-encampment,https://x.com/BTnewsroom/status/1782250646567088129,,https://yaledailynews.com/blog/2024/04/22/live-police-begin-arresting-pro-divestment-protesters-on-beinecke-plaza/,Yes,52.0,https://www.nytimes.com/interactive/2024/us/pro-palestinian-college-protests-encampments.html,,mult. dates in April,Yes,234,Yellow,matched_to_cfsr2025,0,,,,
